land_id,side,row,signal,die_pad,land_x_mm,land_y_mm,die_x_um,die_y_um
L5,L,0,NET155,L5,70.714,53.034,97664.635,74271.812
L6,L,1,NET156,L6,69.514,53.736,97664.635,74330.242
L7,L,0,NET157,L7,70.714,54.438,97664.635,74388.671
L8,L,1,NET158,L8,69.514,55.140,97664.635,74447.101
L9,L,0,NET159,L9,70.714,55.842,97664.635,74505.531
L10,L,1,NET160,L10,69.514,56.544,97664.635,74563.961
L11,L,0,NET161,L11,70.714,57.246,97664.635,74622.391
L12,L,1,NET162,L12,69.514,57.948,97664.635,74680.821
L13,L,0,NET163,L13,70.714,58.650,97664.635,74739.251
L14,L,1,NET164,L14,69.514,59.352,97664.635,74797.681
L15,L,0,NET165,L15,70.714,60.054,97664.635,74856.111
L16,L,1,NET166,L16,69.514,60.756,97664.635,74914.541
L17,L,0,NET167,L17,70.714,61.458,97664.635,74972.971
L18,L,1,NET168,L18,69.514,62.160,97664.635,75031.401
L19,L,0,NET169,L19,70.714,62.862,97664.635,75089.831
L20,L,1,NET170,L20,69.514,63.564,97664.635,75148.261
L21,L,0,NET171,L21,70.714,64.266,97664.635,75206.691
L22,L,1,NET172,L22,69.514,64.968,97664.635,75265.121
L23,L,0,NET173,L23,70.714,65.670,97664.635,75323.551
L24,L,1,NET174,L24,69.514,66.372,97664.635,75381.981
L25,L,0,NET175,L25,70.714,67.074,97664.635,75440.411
L26,L,1,NET176,L26,69.514,67.776,97664.635,75498.841
L27,L,0,NET177,L27,70.714,68.478,97664.635,75557.271
L28,L,1,NET178,L28,69.514,69.180,97664.635,75615.700
L29,L,0,NET179,L29,70.714,69.882,97664.635,75674.130
L30,L,1,NET180,L30,69.514,70.584,97664.635,75732.560
L31,L,0,NET181,L31,70.714,71.286,97664.635,75790.990
L32,L,1,NET182,L32,69.514,71.988,97664.635,75849.420
L33,L,0,NET183,L33,70.714,72.690,97664.635,75907.850
L34,L,1,NET184,L34,69.514,73.392,97664.635,75966.280
L35,L,0,NET185,L35,70.714,74.094,97664.635,76024.710
L36,L,1,NET186,L36,69.514,74.796,97664.635,76083.140
L37,L,0,NET187,L37,70.714,75.498,97664.635,76141.570
L38,L,1,NET188,L38,69.514,76.200,97664.635,76200.000
L39,L,0,NET189,L39,70.714,76.902,97664.635,76258.430
L40,L,1,NET190,L40,69.514,77.604,97664.635,76316.860
L41,L,0,NET191,L41,70.714,78.306,97664.635,76375.290
L42,L,1,NET192,L42,69.514,79.008,97664.635,76433.720
L43,L,0,NET193,L43,70.714,79.710,97664.635,76492.150
L44,L,1,NET194,L44,69.514,80.412,97664.635,76550.580
L45,L,0,NET195,L45,70.714,81.114,97664.635,76609.010
L46,L,1,NET196,L46,69.514,81.816,97664.635,76667.440
L47,L,0,NET197,L47,70.714,82.518,97664.635,76725.870
L48,L,1,NET198,L48,69.514,83.220,97664.635,76784.300
L49,L,0,NET199,L49,70.714,83.922,97664.635,76842.729
L50,L,1,NET200,L50,69.514,84.624,97664.635,76901.159
L51,L,0,NET201,L51,70.714,85.326,97664.635,76959.589
L52,L,1,NET202,L52,69.514,86.028,97664.635,77018.019
L53,L,0,NET203,L53,70.714,86.730,97664.635,77076.449
L54,L,1,NET204,L54,69.514,87.432,97664.635,77134.879
L55,L,0,NET205,L55,70.714,88.134,97664.635,77193.309
L56,L,1,NET206,L56,69.514,88.836,97664.635,77251.739
L57,L,0,NET207,L57,70.714,89.538,97664.635,77310.169
L58,L,1,NET208,L58,69.514,90.240,97664.635,77368.599
L59,L,0,NET209,L59,70.714,90.942,97664.635,77427.029
L60,L,1,NET210,L60,69.514,91.644,97664.635,77485.459
L61,L,0,NET211,L61,70.714,92.346,97664.635,77543.889
L62,L,1,NET212,L62,69.514,93.048,97664.635,77602.319
L63,L,0,NET213,L63,70.714,93.750,97664.635,77660.749
L64,L,1,NET214,L64,69.514,94.452,97664.635,77719.179
L65,L,0,NET215,L65,70.714,95.154,97664.635,77777.609
L66,L,1,NET216,L66,69.514,95.856,97664.635,77836.039
L67,L,0,NET217,L67,70.714,96.558,97664.635,77894.469
L68,L,1,NET218,L68,69.514,97.260,97664.635,77952.899
L69,L,0,NET219,L69,70.714,97.962,97664.635,78011.329
L70,L,1,NET220,L70,69.514,98.664,97664.635,78069.758
L71,L,0,NET221,L71,70.714,99.366,97664.635,78128.188
L72,L,1,NET222,L72,69.514,100.068,97664.635,78186.618
L73,L,0,NET223,L73,70.714,100.770,97664.635,78245.048
L74,L,1,NET224,L74,69.514,101.472,97664.635,78303.478
L75,L,0,NET225,L75,70.714,102.174,97664.635,78361.908
R1,R,0,NET226,R1,132.486,50.226,105535.365,74038.092
R2,R,1,NET227,R2,133.686,50.928,105535.365,74096.522
R3,R,0,NET228,R3,132.486,51.630,105535.365,74154.952
R4,R,1,NET229,R4,133.686,52.332,105535.365,74213.382
R5,R,0,NET230,R5,132.486,53.034,105535.365,74271.812
R6,R,1,NET231,R6,133.686,53.736,105535.365,74330.242
R7,R,0,NET232,R7,132.486,54.438,105535.365,74388.671
R8,R,1,NET233,R8,133.686,55.140,105535.365,74447.101
R9,R,0,NET234,R9,132.486,55.842,105535.365,74505.531
R10,R,1,NET235,R10,133.686,56.544,105535.365,74563.961
R11,R,0,NET236,R11,132.486,57.246,105535.365,74622.391
R12,R,1,NET237,R12,133.686,57.948,105535.365,74680.821
R13,R,0,NET238,R13,132.486,58.650,105535.365,74739.251
R14,R,1,NET239,R14,133.686,59.352,105535.365,74797.681
R15,R,0,NET240,R15,132.486,60.054,105535.365,74856.111
R16,R,1,NET241,R16,133.686,60.756,105535.365,74914.541
R17,R,0,NET242,R17,132.486,61.458,105535.365,74972.971
R18,R,1,NET243,R18,133.686,62.160,105535.365,75031.401
R19,R,0,NET244,R19,132.486,62.862,105535.365,75089.831
R20,R,1,NET245,R20,133.686,63.564,105535.365,75148.261
R21,R,0,NET246,R21,132.486,64.266,105535.365,75206.691
R22,R,1,NET247,R22,133.686,64.968,105535.365,75265.121
R23,R,0,NET248,R23,132.486,65.670,105535.365,75323.551
R24,R,1,NET249,R24,133.686,66.372,105535.365,75381.981
R25,R,0,NET250,R25,132.486,67.074,105535.365,75440.411
R26,R,1,NET251,R26,133.686,67.776,105535.365,75498.841
R27,R,0,NET252,R27,132.486,68.478,105535.365,75557.271
R28,R,1,NET253,R28,133.686,69.180,105535.365,75615.700
R29,R,0,NET254,R29,132.486,69.882,105535.365,75674.130
R30,R,1,NET255,R30,133.686,70.584,105535.365,75732.560
R31,R,0,NET256,R31,132.486,71.286,105535.365,75790.990
R32,R,1,NET257,R32,133.686,71.988,105535.365,75849.420
R33,R,0,NET258,R33,132.486,72.690,105535.365,75907.850
R34,R,1,NET259,R34,133.686,73.392,105535.365,75966.280
R35,R,0,NET260,R35,132.486,74.094,105535.365,76024.710
R36,R,1,NET261,R36,133.686,74.796,105535.365,76083.140
R37,R,0,NET262,R37,132.486,75.498,105535.365,76141.570
R38,R,1,NET263,R38,133.686,76.200,105535.365,76200.000
R39,R,0,NET264,R39,132.486,76.902,105535.365,76258.430
R40,R,1,NET265,R40,133.686,77.604,105535.365,76316.860
R41,R,0,NET266,R41,132.486,78.306,105535.365,76375.290
R42,R,1,NET267,R42,133.686,79.008,105535.365,76433.720
R43,R,0,NET268,R43,132.486,79.710,105535.365,76492.150
R44,R,1,NET269,R44,133.686,80.412,105535.365,76550.580
R45,R,0,NET270,R45,132.486,81.114,105535.365,76609.010
R46,R,1,NET271,R46,133.686,81.816,105535.365,76667.440
R47,R,0,NET272,R47,132.486,82.518,105535.365,76725.870
R48,R,1,NET273,R48,133.686,83.220,105535.365,76784.300
R49,R,0,NET274,R49,132.486,83.922,105535.365,76842.729
R50,R,1,NET275,R50,133.686,84.624,105535.365,76901.159
R51,R,0,NET276,R51,132.486,85.326,105535.365,76959.589
R52,R,1,NET277,R52,133.686,86.028,105535.365,77018.019
R53,R,0,NET278,R53,132.486,86.730,105535.365,77076.449
R54,R,1,NET279,R54,133.686,87.432,105535.365,77134.879
R55,R,0,NET280,R55,132.486,88.134,105535.365,77193.309
R56,R,1,NET281,R56,133.686,88.836,105535.365,77251.739
R57,R,0,NET282,R57,132.486,89.538,105535.365,77310.169
R58,R,1,NET283,R58,133.686,90.240,105535.365,77368.599
R59,R,0,NET284,R59,132.486,90.942,105535.365,77427.029
R60,R,1,NET285,R60,133.686,91.644,105535.365,77485.459
R61,R,0,NET286,R61,132.486,92.346,105535.365,77543.889
R62,R,1,NET287,R62,133.686,93.048,105535.365,77602.319
R63,R,0,NET288,R63,132.486,93.750,105535.365,77660.749
R64,R,1,NET289,R64,133.686,94.452,105535.365,77719.179
R65,R,0,NET290,R65,132.486,95.154,105535.365,77777.609
R66,R,1,NET291,R66,133.686,95.856,105535.365,77836.039
R67,R,0,NET292,R67,132.486,96.558,105535.365,77894.469
R68,R,1,NET293,R68,133.686,97.260,105535.365,77952.899
R69,R,0,NET294,R69,132.486,97.962,105535.365,78011.329
R70,R,1,NET295,R70,133.686,98.664,105535.365,78069.758
R71,R,0,NET296,R71,132.486,99.366,105535.365,78128.188
R72,R,1,NET297,R72,133.686,100.068,105535.365,78186.618
R73,R,0,NET298,R73,132.486,100.770,105535.365,78245.048
R74,R,1,NET299,R74,133.686,101.472,105535.365,78303.478
R75,R,0,NET300,R75,132.486,102.174,105535.365,78361.908
