Pad,Signal,X (um),Y (um)
B13,NET88,-2315.040,-2427.792
B14,NET89,-2222.439,-2427.792
B15,NET90,-2129.837,-2427.792
B16,NET91,-2037.235,-2427.792
B17,NET92,-1944.634,-2427.792
B18,NET93,-1852.032,-2427.792
B19,NET94,-1759.431,-2427.792
B20,NET95,-1666.829,-2427.792
B21,NET96,-1574.227,-2427.792
B22,NET97,-1481.626,-2427.792
B23,NET98,-1389.024,-2427.792
B24,NET99,-1296.422,-2427.792
B25,NET100,-1203.821,-2427.792
B26,NET101,-1111.219,-2427.792
B27,NET102,-1018.618,-2427.792
B28,NET103,-926.016,-2427.792
B29,NET104,-833.414,-2427.792
B30,NET105,-740.813,-2427.792
B31,NET106,-648.211,-2427.792
B32,NET107,-555.610,-2427.792
B33,NET108,-463.008,-2427.792
B34,NET109,-370.406,-2427.792
B35,NET110,-277.805,-2427.792
B36,NET111,-185.203,-2427.792
B37,NET112,-92.602,-2427.792
B38,NET113,0.000,-2427.792
B39,NET114,92.602,-2427.792
B40,NET115,185.203,-2427.792
B41,NET116,277.805,-2427.792
B42,NET117,370.406,-2427.792
B43,NET118,463.008,-2427.792
B44,NET119,555.610,-2427.792
B45,NET120,648.211,-2427.792
B46,NET121,740.813,-2427.792
B47,NET122,833.414,-2427.792
B48,NET123,926.016,-2427.792
B49,NET124,1018.618,-2427.792
B50,NET125,1111.219,-2427.792
B51,NET126,1203.821,-2427.792
B52,NET127,1296.422,-2427.792
B53,NET128,1389.024,-2427.792
B54,NET129,1481.626,-2427.792
B55,NET130,1574.227,-2427.792
B56,NET131,1666.829,-2427.792
B57,NET132,1759.431,-2427.792
B58,NET133,1852.032,-2427.792
B59,NET134,1944.634,-2427.792
B60,NET135,2037.235,-2427.792
B61,NET136,2129.837,-2427.792
B62,NET137,2222.439,-2427.792
B63,NET138,2315.040,-2427.792
B64,NET139,2407.642,-2427.792
B65,NET140,2500.243,-2427.792
B66,NET141,2592.845,-2427.792
B67,NET142,2685.447,-2427.792
B68,NET143,2778.048,-2427.792
B69,NET144,2870.650,-2427.792
B70,NET145,2963.251,-2427.792
B71,NET146,3055.853,-2427.792
B72,NET147,3148.455,-2427.792
B73,NET148,3241.056,-2427.792
B74,NET149,3333.658,-2427.792
B75,NET150,3426.259,-2427.792
L1,NET151,-3935.365,-2161.908
L2,NET152,-3935.365,-2103.478
L3,NET153,-3935.365,-2045.048
L4,NET154,-3935.365,-1986.618
L5,NET155,-3935.365,-1928.188
L6,NET156,-3935.365,-1869.758
L7,NET157,-3935.365,-1811.329
L8,NET158,-3935.365,-1752.899
L9,NET159,-3935.365,-1694.469
L10,NET160,-3935.365,-1636.039
L11,NET161,-3935.365,-1577.609
L12,NET162,-3935.365,-1519.179
L13,NET163,-3935.365,-1460.749
L14,NET164,-3935.365,-1402.319
L15,NET165,-3935.365,-1343.889
L16,NET166,-3935.365,-1285.459
L17,NET167,-3935.365,-1227.029
L18,NET168,-3935.365,-1168.599
L19,NET169,-3935.365,-1110.169
L20,NET170,-3935.365,-1051.739
L21,NET171,-3935.365,-993.309
L22,NET172,-3935.365,-934.879
L23,NET173,-3935.365,-876.449
L24,NET174,-3935.365,-818.019
L25,NET175,-3935.365,-759.589
L26,NET176,-3935.365,-701.159
L27,NET177,-3935.365,-642.729
L28,NET178,-3935.365,-584.300
L29,NET179,-3935.365,-525.870
L30,NET180,-3935.365,-467.440
L31,NET181,-3935.365,-409.010
L32,NET182,-3935.365,-350.580
L33,NET183,-3935.365,-292.150
L34,NET184,-3935.365,-233.720
L35,NET185,-3935.365,-175.290
L36,NET186,-3935.365,-116.860
L37,NET187,-3935.365,-58.430
L38,NET188,-3935.365,0.000
L39,NET189,-3935.365,58.430
L40,NET190,-3935.365,116.860
L41,NET191,-3935.365,175.290
L42,NET192,-3935.365,233.720
L43,NET193,-3935.365,292.150
L44,NET194,-3935.365,350.580
L45,NET195,-3935.365,409.010
L46,NET196,-3935.365,467.440
L47,NET197,-3935.365,525.870
L48,NET198,-3935.365,584.300
L49,NET199,-3935.365,642.729
L50,NET200,-3935.365,701.159
L51,NET201,-3935.365,759.589
L52,NET202,-3935.365,818.019
L53,NET203,-3935.365,876.449
L54,NET204,-3935.365,934.879
L55,NET205,-3935.365,993.309
L56,NET206,-3935.365,1051.739
L57,NET207,-3935.365,1110.169
L58,NET208,-3935.365,1168.599
L59,NET209,-3935.365,1227.029
L60,NET210,-3935.365,1285.459
L61,NET211,-3935.365,1343.889
L62,NET212,-3935.365,1402.319
L63,NET213,-3935.365,1460.749
L64,NET214,-3935.365,1519.179
L65,NET215,-3935.365,1577.609
L66,NET216,-3935.365,1636.039
L67,NET217,-3935.365,1694.469
L68,NET218,-3935.365,1752.899
L69,NET219,-3935.365,1811.329
L70,NET220,-3935.365,1869.758
L71,NET221,-3935.365,1928.188
L72,NET222,-3935.365,1986.618
L73,NET223,-3935.365,2045.048
L74,NET224,-3935.365,2103.478
L75,NET225,-3935.365,2161.908
R1,NET226,3935.365,-2161.908
R2,NET227,3935.365,-2103.478
R3,NET228,3935.365,-2045.048
R4,NET229,3935.365,-1986.618
R5,NET230,3935.365,-1928.188
R6,NET231,3935.365,-1869.758
R7,NET232,3935.365,-1811.329
R8,NET233,3935.365,-1752.899
R9,NET234,3935.365,-1694.469
R10,NET235,3935.365,-1636.039
R11,NET236,3935.365,-1577.609
R12,NET237,3935.365,-1519.179
R13,NET238,3935.365,-1460.749
R14,NET239,3935.365,-1402.319
R15,NET240,3935.365,-1343.889
R16,NET241,3935.365,-1285.459
R17,NET242,3935.365,-1227.029
R18,NET243,3935.365,-1168.599
R19,NET244,3935.365,-1110.169
R20,NET245,3935.365,-1051.739
R21,NET246,3935.365,-993.309
R22,NET247,3935.365,-934.879
R23,NET248,3935.365,-876.449
R24,NET249,3935.365,-818.019
R25,NET250,3935.365,-759.589
R26,NET251,3935.365,-701.159
R27,NET252,3935.365,-642.729
R28,NET253,3935.365,-584.300
R29,NET254,3935.365,-525.870
R30,NET255,3935.365,-467.440
R31,NET256,3935.365,-409.010
R32,NET257,3935.365,-350.580
R33,NET258,3935.365,-292.150
R34,NET259,3935.365,-233.720
R35,NET260,3935.365,-175.290
R36,NET261,3935.365,-116.860
R37,NET262,3935.365,-58.430
R38,NET263,3935.365,0.000
R39,NET264,3935.365,58.430
R40,NET265,3935.365,116.860
R41,NET266,3935.365,175.290
R42,NET267,3935.365,233.720
R43,NET268,3935.365,292.150
R44,NET269,3935.365,350.580
R45,NET270,3935.365,409.010
R46,NET271,3935.365,467.440
R47,NET272,3935.365,525.870
R48,NET273,3935.365,584.300
R49,NET274,3935.365,642.729
R50,NET275,3935.365,701.159
R51,NET276,3935.365,759.589
R52,NET277,3935.365,818.019
R53,NET278,3935.365,876.449
R54,NET279,3935.365,934.879
R55,NET280,3935.365,993.309
R56,NET281,3935.365,1051.739
R57,NET282,3935.365,1110.169
R58,NET283,3935.365,1168.599
R59,NET284,3935.365,1227.029
R60,NET285,3935.365,1285.459
R61,NET286,3935.365,1343.889
R62,NET287,3935.365,1402.319
R63,NET288,3935.365,1460.749
R64,NET289,3935.365,1519.179
R65,NET290,3935.365,1577.609
R66,NET291,3935.365,1636.039
R67,NET292,3935.365,1694.469
R68,NET293,3935.365,1752.899
R69,NET294,3935.365,1811.329
R70,NET295,3935.365,1869.758
R71,NET296,3935.365,1928.188
R72,NET297,3935.365,1986.618
R73,NET298,3935.365,2045.048
R74,NET299,3935.365,2103.478
R75,NET300,3935.365,2161.908
