Pad,Signal,X (um),Y (um)
R2,NET173,3935.365,-2075.801
R3,NET174,3935.365,-1998.919
R4,NET175,3935.365,-1922.038
R5,NET176,3935.365,-1845.156
R6,NET177,3935.365,-1768.275
R7,NET178,3935.365,-1691.393
R8,NET179,3935.365,-1614.512
R9,NET180,3935.365,-1537.630
R10,NET181,3935.365,-1460.749
R11,NET182,3935.365,-1383.867
R12,NET183,3935.365,-1306.986
R13,NET184,3935.365,-1230.104
R14,NET185,3935.365,-1153.223
R15,NET186,3935.365,-1076.341
R16,NET187,3935.365,-999.460
R17,NET188,3935.365,-922.578
R18,NET189,3935.365,-845.697
R19,NET190,3935.365,-768.815
R20,NET191,3935.365,-691.934
R21,NET192,3935.365,-615.052
R22,NET193,3935.365,-538.171
R23,NET194,3935.365,-461.289
R24,NET195,3935.365,-384.408
R25,NET196,3935.365,-307.526
R26,NET197,3935.365,-230.645
R27,NET198,3935.365,-153.763
R28,NET199,3935.365,-76.882
R29,NET200,3935.365,0.000
R30,NET201,3935.365,76.882
R31,NET202,3935.365,153.763
R32,NET203,3935.365,230.645
R33,NET204,3935.365,307.526
R34,NET205,3935.365,384.408
R35,NET206,3935.365,461.289
R36,NET207,3935.365,538.171
R37,NET208,3935.365,615.052
R38,NET209,3935.365,691.934
R39,NET210,3935.365,768.815
R40,NET211,3935.365,845.697
R41,NET212,3935.365,922.578
R42,NET213,3935.365,999.460
R43,NET214,3935.365,1076.341
R44,NET215,3935.365,1153.223
R45,NET216,3935.365,1230.104
R46,NET217,3935.365,1306.986
R47,NET218,3935.365,1383.867
R48,NET219,3935.365,1460.749
R49,NET220,3935.365,1537.630
R50,NET221,3935.365,1614.512
R51,NET222,3935.365,1691.393
R52,NET223,3935.365,1768.275
R53,NET224,3935.365,1845.156
R54,NET225,3935.365,1922.038
R55,NET226,3935.365,1998.919
R56,NET227,3935.365,2075.801
R57,NET228,3935.365,2152.682
