Pad,Signal,X (um),Y (um)
B47,NET107,1909.908,-2427.792
B48,NET108,2025.660,-2427.792
B49,NET109,2141.412,-2427.792
B50,NET110,2257.164,-2427.792
B51,NET111,2372.916,-2427.792
B52,NET112,2488.668,-2427.792
B53,NET113,2604.420,-2427.792
B54,NET114,2720.172,-2427.792
B55,NET115,2835.924,-2427.792
B56,NET116,2951.676,-2427.792
B57,NET117,3067.428,-2427.792
B58,NET118,3183.180,-2427.792
B59,NET119,3298.932,-2427.792
B60,NET120,3414.684,-2427.792
L1,NET121,-3935.365,-2154.604
L2,NET122,-3935.365,-2081.567
L3,NET123,-3935.365,-2008.530
L4,NET124,-3935.365,-1935.492
L5,NET125,-3935.365,-1862.455
L6,NET126,-3935.365,-1789.417
L7,NET127,-3935.365,-1716.380
L8,NET128,-3935.365,-1643.342
L9,NET129,-3935.365,-1570.305
L10,NET130,-3935.365,-1497.268
L11,NET131,-3935.365,-1424.230
L12,NET132,-3935.365,-1351.193
L13,NET133,-3935.365,-1278.155
L14,NET134,-3935.365,-1205.118
L15,NET135,-3935.365,-1132.080
L16,NET136,-3935.365,-1059.043
L17,NET137,-3935.365,-986.005
L18,NET138,-3935.365,-912.968
L19,NET139,-3935.365,-839.931
L20,NET140,-3935.365,-766.893
L21,NET141,-3935.365,-693.856
L22,NET142,-3935.365,-620.818
L23,NET143,-3935.365,-547.781
L24,NET144,-3935.365,-474.743
L25,NET145,-3935.365,-401.706
L26,NET146,-3935.365,-328.668
L27,NET147,-3935.365,-255.631
L28,NET148,-3935.365,-182.594
L29,NET149,-3935.365,-109.556
L30,NET150,-3935.365,-36.519
L31,NET151,-3935.365,36.519
L32,NET152,-3935.365,109.556
L33,NET153,-3935.365,182.594
L34,NET154,-3935.365,255.631
L35,NET155,-3935.365,328.668
L36,NET156,-3935.365,401.706
L37,NET157,-3935.365,474.743
L38,NET158,-3935.365,547.781
L39,NET159,-3935.365,620.818
L40,NET160,-3935.365,693.856
L41,NET161,-3935.365,766.893
L42,NET162,-3935.365,839.931
L43,NET163,-3935.365,912.968
L44,NET164,-3935.365,986.005
L45,NET165,-3935.365,1059.043
L46,NET166,-3935.365,1132.080
L47,NET167,-3935.365,1205.118
L48,NET168,-3935.365,1278.155
L49,NET169,-3935.365,1351.193
L50,NET170,-3935.365,1424.230
L51,NET171,-3935.365,1497.268
L52,NET172,-3935.365,1570.305
L53,NET173,-3935.365,1643.342
L54,NET174,-3935.365,1716.380
L55,NET175,-3935.365,1789.417
L56,NET176,-3935.365,1862.455
L57,NET177,-3935.365,1935.492
L58,NET178,-3935.365,2008.530
L59,NET179,-3935.365,2081.567
L60,NET180,-3935.365,2154.604
