Pad,Signal,X (um),Y (um),Land #,Hdr #,Net Class,I/O
P61,VSS,4500.000,-0.000,61,J1-61,Power,
P62,VDD,4500.000,-4050.000,62,J1-62,Power,
P63,IN_1_63,4650.000,-0.000,63,J1-63,Signal,INPUT1
P64,VDD,4650.000,-4050.000,64,J1-64,Power,
P65,VSS,4800.000,-0.000,65,J1-65,Power,
P66,VDD,4800.000,-4050.000,66,J1-66,Power,
P67,VSS,4950.000,-0.000,67,J1-67,Power,
P68,VDD,4950.000,-4050.000,68,J1-68,Power,
P69,VSS,5100.000,-0.000,69,J1-69,Power,
P70,VDD,5100.000,-4050.000,70,J1-70,Power,
P71,IN_1_71,5250.000,-0.000,71,J1-71,Signal,INPUT1
P72,VDD,5250.000,-4050.000,72,J1-72,Power,
P73,VSS,5400.000,-0.000,73,J1-73,Power,
P74,VDD,5400.000,-4050.000,74,J1-74,Power,
P75,VSS,5550.000,-0.000,75,J1-75,Power,
P76,VDD,5550.000,-4050.000,76,J1-76,Power,
P77,VSS,5700.000,-0.000,77,J1-77,Power,
P78,IN_2_78,5700.000,-4050.000,78,J1-78,Signal,INPUT2
P79,OUT_2,5850.000,-0.000,79,J1-79,Analog,OUTPUT2
P80,VDD,5850.000,-4050.000,80,J1-80,Power,
P81,VSS,6000.000,-0.000,81,J1-81,Power,
P82,VDD,6000.000,-4050.000,82,J1-82,Power,
P83,VSS,6150.000,-0.000,83,J1-83,Power,
P84,VDD,6150.000,-4050.000,84,J1-84,Power,
P85,IN_1_85,0.000,-150.000,85,J1-85,Signal,INPUT1
P86,VDD,6150.000,-150.000,86,J1-86,Power,
P87,VSS,0.000,-300.000,87,J1-87,Power,
P88,IN_2_88,6150.000,-300.000,88,J1-88,Signal,INPUT2
P89,VSS,0.000,-450.000,89,J1-89,Power,
P90,VDD,6150.000,-450.000,90,J1-90,Power,
P91,VSS,0.000,-600.000,91,J1-91,Power,
P92,VDD,6150.000,-600.000,92,J1-92,Power,
P93,IN_1_93,0.000,-750.000,93,J1-93,Signal,INPUT1
P94,VDD,6150.000,-750.000,94,J1-94,Power,
P95,VSS,0.000,-900.000,95,J1-95,Power,
P96,IN_2_96,6150.000,-900.000,96,J1-96,Signal,INPUT2
P97,VSS,0.000,-1050.000,97,J1-97,Power,
P98,VDD,6150.000,-1050.000,98,J1-98,Power,
P99,VSS,0.000,-1200.000,99,J1-99,Power,
P100,VDD,6150.000,-1200.000,100,J1-100,Power,
P101,IN_1_101,0.000,-1350.000,101,J1-101,Signal,INPUT1
P102,VDD,6150.000,-1350.000,102,J1-102,Power,
P103,VSS,0.000,-1500.000,103,J1-103,Power,
P104,IN_2_104,6150.000,-1500.000,104,J1-104,Signal,INPUT2
P105,VSS,0.000,-1650.000,105,J1-105,Power,
P106,VDD,6150.000,-1650.000,106,J1-106,Power,
P107,VSS,0.000,-1800.000,107,J1-107,Power,
P108,VDD,6150.000,-1800.000,108,J1-108,Power,
P109,OUT_1,0.000,-1950.000,109,J1-109,Analog,OUTPUT1
P110,VDD,6150.000,-1950.000,110,J1-110,Power,
P111,VSS,0.000,-2100.000,111,J1-111,Power,
P112,IN_2_112,6150.000,-2100.000,112,J1-112,Signal,INPUT2
P113,VSS,0.000,-2250.000,113,J1-113,Power,
P114,VDD,6150.000,-2250.000,114,J1-114,Power,
P115,VSS,0.000,-2400.000,115,J1-115,Power,
P116,VDD,6150.000,-2400.000,116,J1-116,Power,
P117,VSS,0.000,-2550.000,117,J1-117,Power,
P118,VDD,6150.000,-2550.000,118,J1-118,Power,
P119,VSS,0.000,-2700.000,119,J1-119,Power,
P120,IN_2_120,6150.000,-2700.000,120,J1-120,Signal,INPUT2
P121,VSS,0.000,-2850.000,121,J1-121,Power,
P122,VDD,6150.000,-2850.000,122,J1-122,Power,
P123,VSS,0.000,-3000.000,123,J1-123,Power,
P124,VDD,6150.000,-3000.000,124,J1-124,Power,
P125,VSS,0.000,-3150.000,125,J1-125,Power,
P126,VDD,6150.000,-3150.000,126,J1-126,Power,
P127,VSS,0.000,-3300.000,127,J1-127,Power,
P128,IN_2_128,6150.000,-3300.000,128,J1-128,Signal,INPUT2
P129,VSS,0.000,-3450.000,129,J1-129,Power,
P130,VDD,6150.000,-3450.000,130,J1-130,Power,
P131,VSS,0.000,-3600.000,131,J1-131,Power,
P132,VDD,6150.000,-3600.000,132,J1-132,Power,
P133,VSS,0.000,-3750.000,133,J1-133,Power,
P134,VDD,6150.000,-3750.000,134,J1-134,Power,
P135,VSS,0.000,-3900.000,135,J1-135,Power,
P136,IN_2_136,6150.000,-3900.000,136,J1-136,Signal,INPUT2
