Pad,Signal,X (um),Y (um)
B15,NET65,-892.500,-1350.000
B16,NET66,-807.500,-1350.000
B17,NET67,-722.500,-1350.000
B18,NET68,-637.500,-1350.000
B19,NET69,-552.500,-1350.000
B20,NET70,-467.500,-1350.000
B21,NET71,-382.500,-1350.000
B22,NET72,-297.500,-1350.000
B23,NET73,-212.500,-1350.000
B24,NET74,-127.500,-1350.000
B25,NET75,-42.500,-1350.000
B26,NET76,42.500,-1350.000
B27,NET77,127.500,-1350.000
B28,NET78,212.500,-1350.000
B29,NET79,297.500,-1350.000
B30,NET80,382.500,-1350.000
B31,NET81,467.500,-1350.000
B32,NET82,552.500,-1350.000
B33,NET83,637.500,-1350.000
B34,NET84,722.500,-1350.000
B35,NET85,807.500,-1350.000
B36,NET86,892.500,-1350.000
B37,NET87,977.500,-1350.000
B38,NET88,1062.500,-1350.000
B39,NET89,1147.500,-1350.000
B40,NET90,1232.500,-1350.000
B41,NET91,1317.500,-1350.000
B42,NET92,1402.500,-1350.000
B43,NET93,1487.500,-1350.000
B44,NET94,1572.500,-1350.000
B45,NET95,1657.500,-1350.000
B46,NET96,1742.500,-1350.000
B47,NET97,1827.500,-1350.000
B48,NET98,1912.500,-1350.000
B49,NET99,1997.500,-1350.000
B50,NET100,2082.500,-1350.000
L1,NET101,-2350.000,-1249.500
L2,NET102,-2350.000,-1198.500
L3,NET103,-2350.000,-1147.500
L4,NET104,-2350.000,-1096.500
L5,NET105,-2350.000,-1045.500
L6,NET106,-2350.000,-994.500
L7,NET107,-2350.000,-943.500
L8,NET108,-2350.000,-892.500
L9,NET109,-2350.000,-841.500
L10,NET110,-2350.000,-790.500
L11,NET111,-2350.000,-739.500
L12,NET112,-2350.000,-688.500
L13,NET113,-2350.000,-637.500
L14,NET114,-2350.000,-586.500
L15,NET115,-2350.000,-535.500
L16,NET116,-2350.000,-484.500
L17,NET117,-2350.000,-433.500
L18,NET118,-2350.000,-382.500
L19,NET119,-2350.000,-331.500
L20,NET120,-2350.000,-280.500
L21,NET121,-2350.000,-229.500
L22,NET122,-2350.000,-178.500
L23,NET123,-2350.000,-127.500
L24,NET124,-2350.000,-76.500
L25,NET125,-2350.000,-25.500
L26,NET126,-2350.000,25.500
L27,NET127,-2350.000,76.500
L28,NET128,-2350.000,127.500
L29,NET129,-2350.000,178.500
L30,NET130,-2350.000,229.500
L31,NET131,-2350.000,280.500
L32,NET132,-2350.000,331.500
L33,NET133,-2350.000,382.500
L34,NET134,-2350.000,433.500
L35,NET135,-2350.000,484.500
L36,NET136,-2350.000,535.500
L37,NET137,-2350.000,586.500
L38,NET138,-2350.000,637.500
L39,NET139,-2350.000,688.500
L40,NET140,-2350.000,739.500
L41,NET141,-2350.000,790.500
L42,NET142,-2350.000,841.500
L43,NET143,-2350.000,892.500
L44,NET144,-2350.000,943.500
L45,NET145,-2350.000,994.500
L46,NET146,-2350.000,1045.500
L47,NET147,-2350.000,1096.500
L48,NET148,-2350.000,1147.500
L49,NET149,-2350.000,1198.500
L50,NET150,-2350.000,1249.500
R1,NET151,2350.000,-1249.500
R2,NET152,2350.000,-1198.500
R3,NET153,2350.000,-1147.500
R4,NET154,2350.000,-1096.500
R5,NET155,2350.000,-1045.500
R6,NET156,2350.000,-994.500
R7,NET157,2350.000,-943.500
R8,NET158,2350.000,-892.500
R9,NET159,2350.000,-841.500
R10,NET160,2350.000,-790.500
R11,NET161,2350.000,-739.500
R12,NET162,2350.000,-688.500
R13,NET163,2350.000,-637.500
R14,NET164,2350.000,-586.500
R15,NET165,2350.000,-535.500
R16,NET166,2350.000,-484.500
R17,NET167,2350.000,-433.500
R18,NET168,2350.000,-382.500
R19,NET169,2350.000,-331.500
R20,NET170,2350.000,-280.500
R21,NET171,2350.000,-229.500
R22,NET172,2350.000,-178.500
R23,NET173,2350.000,-127.500
R24,NET174,2350.000,-76.500
R25,NET175,2350.000,-25.500
R26,NET176,2350.000,25.500
R27,NET177,2350.000,76.500
R28,NET178,2350.000,127.500
R29,NET179,2350.000,178.500
R30,NET180,2350.000,229.500
R31,NET181,2350.000,280.500
R32,NET182,2350.000,331.500
R33,NET183,2350.000,382.500
R34,NET184,2350.000,433.500
R35,NET185,2350.000,484.500
R36,NET186,2350.000,535.500
R37,NET187,2350.000,586.500
R38,NET188,2350.000,637.500
R39,NET189,2350.000,688.500
R40,NET190,2350.000,739.500
R41,NET191,2350.000,790.500
R42,NET192,2350.000,841.500
R43,NET193,2350.000,892.500
R44,NET194,2350.000,943.500
R45,NET195,2350.000,994.500
R46,NET196,2350.000,1045.500
R47,NET197,2350.000,1096.500
R48,NET198,2350.000,1147.500
R49,NET199,2350.000,1198.500
R50,NET200,2350.000,1249.500
